main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40556.35988505871, 15317.338043533602] (2) [40142, 15445]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40556.35988505871, 15317.338043533602] (2) [40066, 15456]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40538.41688308533, 15315.730878360077] (2) [40066, 15456]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40481.80639077902, 15328.63162670195] (2) [39879, 15461]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40481.80639077902, 15328.63162670195] (2) [39879, 15461]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40388.310984620744, 15346.566786442258] (2) [39771, 15465]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40388.310984620744, 15346.566786442258] (2) [39771, 15465]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40129.999749314935, 15392.921196660678] (2) [39716, 15461]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40035.48054082054, 15410.314392712688] (2) [39716, 15461]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40035.48054082054, 15410.314392712688] (2) [39578, 15454]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40004.20036580002, 15416.361471642665] (2) [39578, 15454]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40004.20036580002, 15416.361471642665] (2) [39538, 15447]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [40004.20036580002, 15416.361471642665] (2) [39538, 15447]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39973.389000480165, 15402.875161331465] (2) [39455, 15448]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39973.389000480165, 15402.875161331465] (2) [39455, 15448]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39873.16786400522, 15396.307811640856] (2) [39310, 15462]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39873.16786400522, 15396.307811640856] (2) [39310, 15462]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39839.41725954117, 15393.608768736136] (2) [39255, 15476]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39602.22878849321, 15402.882063228344] (2) [39255, 15476]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39602.22878849321, 15402.882063228344] (2) [39255, 15476]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39425.13266084597, 15406.614105747385] (2) [39255, 15476]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39363.14407863486, 15407.729338563742] (2) [39096, 15508]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39363.14407863486, 15407.729338563742] (2) [39096, 15508]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39377.164833430536, 15401.23066393678] (2) [38920, 15540]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39310.73856252494, 15408.000653052772] (2) [38920, 15540]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39310.73856252494, 15408.000653052772] (2) [38920, 15540]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39290.32310390503, 15410.387258850616] (2) [38920, 15540]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39290.32310390503, 15410.387258850616] (2) [38782, 15553]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39111.50585554743, 15438.270897277207] (2) [38782, 15553]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39111.50585554743, 15438.270897277207] (2) [38667, 15558]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39047.32058034873, 15448.676529101489] (2) [38667, 15558]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39047.32058034873, 15448.676529101489] (2) [38561, 15559]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [39047.32058034873, 15448.676529101489] (2) [38561, 15559]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38889.91775954082, 15477.926700224642] (2) [38414, 15560]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38889.91775954082, 15477.926700224642] (2) [38414, 15560]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38849.32456269485, 15483.9683693551] (2) [38371, 15560]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38804.30170219105, 15487.18274478912] (2) [38371, 15560]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38804.30170219105, 15487.18274478912] (2) [38321, 15557]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38791.530661555, 15487.908632621386] (2) [38321, 15557]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38684.12990835053, 15483.758787106235] (2) [38229, 15567]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38344.33819331475, 15513.435432420445] (2) [38229, 15567]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38137.5170503148, 15526.898168425121] (2) [37903, 15666]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38137.5170503148, 15526.898168425121] (2) [37903, 15666]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38112.506076738224, 15527.359432716046] (2) [37853, 15682]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38112.506076738224, 15527.359432716046] (2) [37853, 15682]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38146.69580399176, 15522.44429269568] (2) [37768, 15709]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38146.69580399176, 15522.44429269568] (2) [37768, 15709]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38163.41547122095, 15520.282305558947] (2) [37689, 15720]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38163.41547122095, 15520.282305558947] (2) [37689, 15720]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38172.49895558494, 15519.317852871956] (2) [37600, 15723]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [38172.49895558494, 15519.317852871956] (2) [37600, 15723]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37711.88606896225, 15607.943726067502] (2) [37313, 15756]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37711.88606896225, 15607.943726067502] (2) [37313, 15756]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37611.894900262836, 15631.727905186548] (2) [37211, 15780]
